Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,CustomerForYears,TotalSpent,FamilySize,Kids_Teens,TotalAcceptedCmp,SpendingEfficiency,CampaignSuccessRate,PCA1,PCA2,Cluster,Cluster_GMM
1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,62,12,318,1,0,0,0.008234075608493008,0.0,0.25345755996179087,-0.8086276126168117,5,1
1987,Graduation,Divorced,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,38,11,778,1,0,0,0.009562321013753518,0.0,0.7374123348509651,-1.2611560533496304,5,1
1960,Graduation,Married,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,65,12,56,3,2,0,0.0019021739130434783,0.0,-1.5453653398804343,1.024963803481801,1,3
1970,Master,Married,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,55,12,151,3,2,1,0.004178427140406221,0.2,-1.1464425777717957,0.8515150874229968,1,3
1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,68,11,372,2,1,2,0.007382710169087878,0.4,0.009890760965983902,-0.3491657469295391,2,1
1973,Graduation,Married,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,52,11,1366,1,0,1,0.01716231326875479,0.2,1.565627376835619,-1.1372979876298366,3,1
1967,Graduation,Together,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,58,11,194,2,1,0,0.0035807892502491786,0.0,-0.6352328573127106,-0.18221709034410125,0,0
1972,Master,Single,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,53,11,32,2,1,0,0.0007548237958201632,0.0,-0.9508925654705845,-0.21591271305482257,0,0
1970,PhD,Married,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,55,11,43,2,1,0,0.0018200287818505036,0.0,-1.03209902804474,-0.026780362721701208,0,0
1983,Graduation,Married,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,42,11,45,2,1,0,0.0014952153110047847,0.0,-1.0123202648599121,-0.12726315998544,0,0
1960,Graduation,Widow,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,65,13,606,2,1,1,0.012647132481843225,0.2,0.29538488636668725,0.16726805708427497,2,0
1972,Graduation,Divorced,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,53,12,63,3,2,0,0.0012159110647906896,0.0,-1.417959159146948,0.7948626873368619,1,3
1951,2n Cycle,Married,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,74,12,978,1,0,1,0.012459074869103278,0.2,1.2378828189055444,-1.159956446872666,3,1
1983,PhD,Married,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,42,12,410,1,0,0,0.008175473579262214,0.0,0.3514177529779491,-0.9688312616817527,5,1
1960,2n Cycle,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,65,12,72,2,1,0,0.001505551721974782,0.0,-0.7795511253459804,-0.13317765956315036,4,0
1959,PhD,Single,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,66,11,55,2,1,0,0.0015917115239914338,0.0,-0.9435862696795809,-0.0859284663825555,0,0
1979,Graduation,Together,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,46,12,1169,2,1,0,0.013641721027388469,0.0,0.5671746559704615,-0.08174530427483132,4,1
1945,PhD,Married,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,80,12,1120,1,0,0,0.017009385535947514,0.0,1.2613827069710966,-0.6781872505666353,5,1
1959,Graduation,Married,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,66,11,1097,1,0,0,0.012580996616778485,0.0,1.0928183020647788,-1.1335526922264227,5,1
1979,Basic,Together,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,46,12,29,2,1,0,0.0011791493860291128,0.0,-1.0159810348170255,-0.029235889196221658,4,0
1964,Graduation,Married,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,61,12,187,3,2,0,0.003808864265927978,0.0,-1.2400904294904678,0.937738313994837,1,3
1969,Graduation,Married,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,56,12,910,3,2,0,0.017362104821322954,0.0,-0.19476242290646334,1.4075126758780687,1,3
1978,Graduation,Single,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,47,13,145,2,1,0,0.0037606660269211816,0.0,-0.6572040411012707,0.03161059532355279,2,0
1960,Master,Married,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,65,13,850,1,0,0,0.009544341889555122,0.0,0.9675977242590874,-1.1330175075708777,3,1
1979,Graduation,Together,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,46,12,969,2,1,0,0.012535900023286502,0.0,0.37032866724149416,-0.03930728102265362,4,0
1991,PhD,Single,68126.0,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,34,13,1820,1,0,1,0.026715204180489095,0.2,2.2786651999986605,-0.6229755005142952,3,1
1963,Master,Together,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,62,11,608,2,1,1,0.010613042871107387,0.2,0.13070907649371244,-0.1207555220869555,2,0
1991,Graduation,Single,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,34,12,730,1,0,2,0.008484721689505677,0.4,1.137258061255211,-1.6608767472079482,3,1
1980,PhD,Married,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,45,13,551,2,1,0,0.012530131441306226,0.0,0.02577694411277498,0.3257366897887287,2,0
1962,Graduation,Single,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,63,12,114,3,2,0,0.0022447573102293986,0.0,-1.3394073929693298,0.871017840132881,1,3
1970,Graduation,Married,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,55,11,1724,1,0,2,0.018994105657467085,0.4,2.0749164943006786,-1.3686577564245797,3,1
1978,2n Cycle,Married,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,47,12,577,2,1,0,0.015786593707250343,0.0,0.10669517462641681,0.47337495086170644,4,0
1967,2n Cycle,Together,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,58,12,81,3,2,0,0.0026338893766461808,0.0,-1.4915029846917363,1.0245959310473463,1,3
1969,Graduation,Together,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,56,12,33,2,1,0,0.0015056118258965235,0.0,-1.0067153059496075,0.03405386711080052,4,0
1953,Master,Together,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,72,12,660,2,1,0,0.01175862744748704,0.0,0.08178315352577403,0.20531680820636372,4,0
1967,Master,Single,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,58,11,80,2,1,0,0.0024572288601529624,0.0,-0.9092013435122858,-0.05911182714922627,0,0
1985,Master,Married,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,40,12,30,3,2,0,0.0015376729882111738,0.0,-1.6792445848237325,1.0104787116269094,1,3
1976,Graduation,Divorced,30992.0,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,49,12,43,2,1,0,0.0013874548270521425,0.0,-0.9455796001382207,-0.0593209917378388,4,0
1983,Graduation,Single,101970.0,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,42,12,1135,1,0,3,0.011130724722957733,0.6,1.7520520604394365,-1.8819658323115491,3,1
1965,2n Cycle,Together,71488.0,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,60,12,559,1,0,0,0.00781949418084154,0.0,0.5676015456541608,-1.111093275724282,5,1
1984,Graduation,Single,79607.0,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,41,12,1923,1,0,0,0.024156167171228662,0.0,2.0105703079688424,-0.693976324298571,5,1
